timestamp,host,host_ip,port,method,content_type,scheme,url,path,final_url,title,status_code,chain_status_codes,webserver,tech,cdn,cdn_name,cdn_type,a
2026-01-16T19:53:00.902592621+01:00,adminupload.autorola.com,52.28.156.134,443,GET,text/html,https,https://adminupload.autorola.com,/,,adminupload.autorola.com,200,,nginx,"[""Java"",""Nginx""]",false,aws,cloud,"[""18.194.229.212"",""52.28.156.134""]"
2026-01-16T19:53:00.923473404+01:00,ald-documents.mp.prod1.autorola.com,3.174.18.43,443,GET,application/xml,https,https://ald-documents.mp.prod1.autorola.com,/,,,403,,AmazonS3,"[""Amazon CloudFront"",""Amazon S3"",""Amazon Web Services"",""HTTP/3""]",true,cloudfront,cdn,"[""3.174.18.121"",""3.174.18.3"",""3.174.18.43"",""3.174.18.97""]"
2026-01-16T19:53:00.935854833+01:00,ald-documents.mp.dev1.autorola.com,3.174.18.92,443,GET,application/xml,https,https://ald-documents.mp.dev1.autorola.com,/,,,403,,AmazonS3,"[""Amazon CloudFront"",""Amazon S3"",""Amazon Web Services"",""HTTP/3""]",true,cloudfront,cdn,"[""3.174.18.92"",""3.174.18.102"",""3.174.18.70"",""3.174.18.127""]"
2026-01-16T19:53:00.94043405+01:00,ald-documents.mp.staging2.autorola.com,18.173.5.121,443,GET,application/xml,https,https://ald-documents.mp.staging2.autorola.com,/,,,403,,AmazonS3,"[""Amazon CloudFront"",""Amazon S3"",""Amazon Web Services"",""HTTP/3""]",true,cloudfront,cdn,"[""18.173.5.26"",""18.173.5.70"",""18.173.5.23"",""18.173.5.121""]"
2026-01-16T19:53:00.965756013+01:00,1password.scim.autorola.com,63.179.46.228,443,GET,text/html,https,https://1password.scim.autorola.com,/,https://1password.scim.autorola.com/app/,1Password SCIM bridge,200,"[307,200]",,null,false,aws,cloud,"[""63.179.46.228"",""18.195.129.153""]"
2026-01-16T19:53:00.992606234+01:00,admin.autorola.com,15.197.135.32,443,GET,,https,https://admin.autorola.com,/,https://admin.autorola.com/loginAzure,,302,"[302,302]",nginx,"[""HSTS"",""Nginx""]",false,aws,cloud,"[""15.197.135.32"",""3.33.131.17""]"
2026-01-16T19:53:00.999851335+01:00,ald-documents.mp.uat1.autorola.com,3.174.18.97,443,GET,application/xml,https,https://ald-documents.mp.uat1.autorola.com,/,,,403,,AmazonS3,"[""Amazon CloudFront"",""Amazon S3"",""Amazon Web Services"",""HTTP/3""]",true,cloudfront,cdn,"[""3.174.18.97"",""3.174.18.31"",""3.174.18.51"",""3.174.18.72""]"
2026-01-16T19:53:01.699437777+01:00,autorola-talend-cardesc.dev1.autorola.com,3.174.18.124,443,GET,application/xml,https,https://autorola-talend-cardesc.dev1.autorola.com,/,,,403,,AmazonS3,"[""Amazon CloudFront"",""Amazon S3"",""Amazon Web Services"",""HTTP/3""]",true,cloudfront,cdn,"[""3.174.18.61"",""3.174.18.124"",""3.174.18.90"",""3.174.18.54""]"
2026-01-16T19:53:01.699510844+01:00,autorola-integration-fileshare.autorola.com,3.174.18.109,443,GET,application/xml,https,https://autorola-integration-fileshare.autorola.com,/,,,403,,AmazonS3,"[""Amazon CloudFront"",""Amazon S3"",""Amazon Web Services"",""HTTP/3""]",true,cloudfront,cdn,"[""3.174.18.109"",""3.174.18.119"",""3.174.18.71"",""3.174.18.113""]"
2026-01-16T19:53:01.709369994+01:00,autorola-talend-cardesc.prod1.autorola.com,3.174.18.87,443,GET,application/xml,https,https://autorola-talend-cardesc.prod1.autorola.com,/,,,403,,AmazonS3,"[""Amazon CloudFront"",""Amazon S3"",""Amazon Web Services"",""HTTP/3""]",true,cloudfront,cdn,"[""3.174.18.29"",""3.174.18.115"",""3.174.18.87"",""3.174.18.36""]"
